Committee_Id,Committee_Name,Link_Image,Committee_Election_State,Committee_Election_District,Report_Type,Receipt_Date,Coverage_Start_Date,Coverage_End_Date,Quarterly_Contribution,Semi_Annual_Contribution
"C00744946","BIDEN VICTORY FUND","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159598405696+0","","","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","224286.08","0"
"C00640045","ELIZABETH PANNILL FLETCHER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159598406077+0","TX","07","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","28500","0"
"C00653816","COMMITTEE TO ELECT JARED GOLDEN","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159598067290+0","ME","02","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","82435","0"
"C00648253","JOE NEGUSE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159598062100+0","CO","02","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","27590","0"
"C00431056","BOB CASEY FOR SENATE INC","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159598052467+0","PA","","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","72895","0"
"C00839597","COLIN ALLRED FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159598024286+0","TX","00","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","25447","0"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597981496+0","NV","","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","74700","0"
"C00431353","KLOBUCHAR FOR MINNESOTA","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597959512+0","MN","","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","31470","0"
"C00836494","AARON REGUNBERG FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597927229+0","RI","01","OCTOBER QUARTERLY","15-OCT-23","17-AUG-23","30-SEP-23","28758","0"
"C00509968","CARTWRIGHT FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597926683+0","PA","08","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","24702","0"
"C00264564","MENENDEZ FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597912833+0","NJ","","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","249915","0"
"C00573949","JOSH GOTTHEIMER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597819746+0","NJ","05","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","62882","0"
"C00799767","MENENDEZ FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310159597911313+0","NJ","08","OCTOBER QUARTERLY","15-OCT-23","01-JUL-23","30-SEP-23","22400","0"
"C00639146","JOSH HARDER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597556884+0","CA","09","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","0","0"
"C00795211","DON DAVIS FOR NC","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597523585+0","NC","01","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","0","0"
"C00662577","KATHY MANNING FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597493767+0","NC","06","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","0","0"
"C00711150","MONDAIRE FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597728507+0","NY","17","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","35548","0"
"C00458398","BENNET FOR COLORADO","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597622288+0","CO","","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","0","0"
"C00575209","ANGIE CRAIG FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597588825+0","MN","02","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","23460","0"
"C00413914","GILLIBRAND FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597567809+0","NY","","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","40784","0"
"C00264697","FRIENDS OF SHERROD BROWN","http://docquery.fec.gov/cgi-bin/fecimg/?_202310139597566911+0","OH","","OCTOBER QUARTERLY","13-OCT-23","01-JUL-23","30-SEP-23","152104.5","0"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202310129597482682+0","WI","01","OCTOBER QUARTERLY","12-OCT-23","01-JUL-23","30-SEP-23","0","0"
"C00791558","CANDIDATE KATHY WARNER-STANTON","http://docquery.fec.gov/cgi-bin/fecimg/?_202310029597391522+0","","","APRIL QUARTERLY","02-OCT-23","01-JAN-23","31-MAR-23","0","0"
"C00839324","ONE AMERICAN PERCEPTION","http://docquery.fec.gov/cgi-bin/fecimg/?_202308169596573290+0","","","MONTHLY SEMI-ANNUAL (MY)","16-AUG-23","","","0","0"
"C00042366","DSCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202307319584181565+0","","","QUARTERLY MID-YEAR / SEMI-ANN","31-JUL-23","01-JAN-23","30-JUN-23","5302084.16","5302084.16"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202307209583944202+0","","","FEBRUARY MONTHLY","20-JUL-23","01-JAN-23","31-JAN-23","205050","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_202307199583843530+0","","","MONTHLY SEMI-ANNUAL (MY)","19-JUL-23","01-JUN-23","30-JUN-23","0","358000"
"C00763896","REV WENDY FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307199583817079+0","","","APRIL QUARTERLY","19-JUL-23","01-JAN-23","31-MAR-23","0","0"
"C00755421","RON CURTIS FOR HAWAII","http://docquery.fec.gov/cgi-bin/fecimg/?_202307169583764361+0","","","APRIL QUARTERLY","16-JUL-23","01-APR-23","30-JUN-23","0","0"
"C00839597","COLIN ALLRED FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583718034+0","TX","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","83942.5","83942.5"
"C00653816","COMMITTEE TO ELECT JARED GOLDEN","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583546345+0","ME","02","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","25850","27350"
"C00606939","ROSEN FOR NEVADA","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583543435+0","NV","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","268640","527871"
"C00640045","ELIZABETH PANNILL FLETCHER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583524440+0","TX","07","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-JAN-23","30-JUN-23","64000","64000"
"C00431056","BOB CASEY FOR SENATE INC","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583523572+0","PA","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","29500","29500"
"C00264564","MENENDEZ FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583403649+0","NJ","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","407825","831950"
"C00660464","CHRIS PAPPAS FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583226157+0","NH","01","QUARTERLY SEMI-ANNUAL (MY)","15-JUL-23","01-APR-23","30-JUN-23","0","26305"
"C00573949","JOSH GOTTHEIMER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159582980602+0","NJ","05","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","77100","159623"
"C00649913","SPANBERGER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159582982126+0","VA","07","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","27850","31450"
"C00410803","WHITEHOUSE FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159582990565+0","RI","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","38200","85924"
"C00653196","DAVID TRONE FOR MARYLAND","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583017515+0","MD","","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","84450","116400"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_202307159583093634+0","WI","01","JULY QUARTERLY / SEMI-ANNUAL","15-JUL-23","01-APR-23","30-JUN-23","30628","54114"
