,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
0,AUDRI WILLIAMS,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,,2200.0,0.0,0.0,0.0,0.0,06/30/2018,,,,,,,,,,
1,TABITHA ISNER,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,On the Ballot,14285.73,8605.0,0.0,4796.05,1000.0,12/31/2018,,,,,,,,,,
2,ADIA WINFREY,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,,140.0,0.0,0.0,203.6,0.0,12/31/2018,,,,,,,,,,
3,MALLORY HAGAN,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,On the Ballot,0.0,30500.0,500.0,3935.43,0.0,12/31/2018,,,,,,,,,,
4,PETER JOFFRION,AL,U.S. House Alabama District 5,Representative,Regular,6/5/18,Advanced,On the Ballot,1156.51,29823.41,0.0,5670.3,4000.0,12/31/2018,,,,,,,,Yes,,
5,DANNER KLINE,AL,U.S. House Alabama District 6,Representative,Regular,6/5/18,Advanced,On the Ballot,818.0,9000.0,0.0,35.0,0.0,11/26/2018,,,,,,,,,,
6,CHINTAN DESAI,AR,U.S. House Arkansas District 1,Representative,Regular,5/22/18,Advanced,On the Ballot,4597.63,12320.46,0.0,0.0,0.0,11/30/2018,,,,,,,,Yes,,
7,JONATHAN DUNKLEY,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,,0.0,0.0,0.0,0.0,0.0,07/25/2018,,,,,,,,,,
8,PAUL SPENCER,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,,1583.0,0.0,0.0,2083.0,0.0,12/31/2018,,,,,,,,,,
9,HAYDEN SHAMEL,AR,U.S. House Arkansas District 4,Representative,Regular,5/22/18,Advanced,On the Ballot,3576.2,12325.88,7764.32,309.0,2701.81,12/31/2018,,,,,,,,,,
