"","Candidate.First.Name","Candidate.Last.Name","Candidate.State","Candidate.District","Candidate.Party","Incumbent","Freshman.Member","Candidate.Website.URL","Candidate.Gender","Listed.military.service.","Education","Marital.Status","Previous.Electoral.Experience","Position.on.Affordable.Care.Act..ObamaCare.","Position.on.Minimum.Wage","Position.on.Federal.Taxes","Position.on.Business.Regulations","Position.on.National.Debt.Deficit","Position.on.Social.Security","Position.on.Gun.Control","Position.on.Immigration","Position.on.Abortion","Position.on.Same.Sex.Marriage","Position.on.Criminal.Justice.Reform","Position.on.Federal.K.12.Education.Policy","Position.on.Climate.Change","Position.on.Campaign.Finance.Reform","Position.on.Legalization.Decriminalization.of.Marijuana.Policy","Position.on.Defense.Spending","Position.on.Handling.Terrorism.Abroad","Position.on.Russia","Party.Category","Party.Category.1","Incumbency","Female","Democrat","Republican","Trump.Mention","Obama.Mention","Sanders.Mention","Clinton.Mention","Special.Counsel.Mention","Travel.Ban.Mention","SinglePayer","Primary.Outcome","Primary.Runoff.Outcome"
"1","CAROL","HAFNER","AK",1,"Democrat","","","WWW.CAROLHAFNER.COM","Female","No, the candidate does not include any information about serving in the military","Bachelor's Degree","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants)","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate provides complicated/complex/unclear position","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"2","CHRISTOPHER","CUMINGS","AK",1,"Democrat","","","https://ccc4congress.com/","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Other","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"3","DIMITRI","SHEIN","AK",1,"Democrat","","","WWW.DIMITRIFORCONGRESS.COM","Male","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate supports raising taxes on the wealthy/corporations","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate supports marriage equality measures","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Progressive Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","Yes, candidate supports universal healthcare reforms","Loser",""
"4","ALYSE","GALVIN","AK",1,"Democrat","","","WWW.ALYSE4ALASKA.COM","Female","No, the candidate does not include any information about serving in the military","Bachelor's Degree","Married","","Candidate provides complicated/complex/unclear position","Candidate supports raising the minimum wage","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports protecting the status quo Social Security system","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"5","THOMAS","NELSON","AK",1,"Republican","","","WWW.JOHNNELSONFORALASKANS.COM","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Conservative Republican",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"6","JED","WHITTAKER","AK",1,"Republican","","","NONE","Male","No, the candidate does not include any information about serving in the military","No Education Information Listed","No information","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","","Other",0,0,0,1,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"7","DON","YOUNG","AK",1,"Republican","Candidate is an incumbent Member of Congress","","ALASKANSFORDONYOUNG.COM","Male","Yes, the candidate serves or served in the military","Bachelor's Degree","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate provides no information","Candidate opposes gun control of all kinds (including background checks)","Candidate provides complicated/complex/unclear position","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate provides no information","Candidate provides no information","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate provides no information","Candidate provides no information","","Business/Establishment Republican",1,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"8","LIZETTA","MCCONNELL","AL",1,"Democrat","","","https://lizzettaforcongress.com/","Female","No, the candidate does not include any information about serving in the military","Other","Married","","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate supports major criminal justice reform","Candidate supports federal proposals for major education reform (including common core)","Candidate supports regulations and measures to combat climate change","Candidate provides no information","Candidate supports legalization/decriminalization of marijuana","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,1,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Loser",""
"9","ROBERT","KENNEDY","AL",1,"Democrat","","","http://www.kennedy4alabama.org/","Male","Yes, the candidate serves or served in the military","Master's Degree (includes MBA)","Married","","Candidate provides complicated/complex/unclear position","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate supports gun control measures","Candidate provides no information","Candidate identifies with the pro-choice position (i.e. supports abortion rights)","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Candidate provides no information","Establishment Democrat","",0,0,1,0,"NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","NO MENTION","","Winner",""
"10","BRADLEY","BYRNE","AL",1,"Republican","Candidate is an incumbent Member of Congress","","https://byrne.house.gov/","Male","No, the candidate does not include any information about serving in the military","J.D.","Married","Candidate mentions previous elected office experience","Candidate opposes ACA (e.g. supports repeal/defunding, etc.)","Candidate provides no information","Candidate opposes raises taxes (or candidate supports lowering taxes for all)","Candidate opposes business regulations and other ""red tape""","Candidate calls for lowering the national debt or calls for deficit reduction","Candidate supports protecting the status quo Social Security system","Candidate opposes gun control of all kinds (including background checks)","Candidate opposes comprehensive immigration reform (e.g. opposes amnesty, calls for building a wall, etc.)","Candidate identifies with the pro-life position (i.e. anti-abortion)","Candidate supports the ""traditional family""","Candidate provides no information","Candidate supports local solutions to reform education (e.g. opposes common core, etc.)","Candidate opposes climate change regulations OR denies the effects of climate change","Candidate provides no information","Candidate provides no information","Candidate opposes reductions in military spending","Candidate supports calls for increased American intervention to combat terrorism","Candidate provides no information","","Business/Establishment Republican",1,0,0,1,"POSITIVE MENTION","NEGATIVE MENTION","NO MENTION","NEGATIVE MENTION","NEGATIVE MENTION","NO MENTION","","Winner",""
