,Candidate.First.Name,Candidate.Last.Name,Freshman.Member,Candidate.Website.URL,Candidate.Gender,Listed.military.service.,Education,Marital.Status,Previous.Electoral.Experience,Position.on.Affordable.Care.Act..ObamaCare.,Position.on.Minimum.Wage,Position.on.Federal.Taxes,Position.on.Business.Regulations,Position.on.National.Debt.Deficit,Position.on.Social.Security,Position.on.Gun.Control,Position.on.Immigration,Position.on.Abortion,Position.on.Same.Sex.Marriage,Position.on.Criminal.Justice.Reform,Position.on.Federal.K.12.Education.Policy,Position.on.Climate.Change,Position.on.Campaign.Finance.Reform,Position.on.Legalization.Decriminalization.of.Marijuana.Policy,Position.on.Defense.Spending,Position.on.Handling.Terrorism.Abroad,Position.on.Russia,Party.Category,Party.Category.1,Trump.Mention,Obama.Mention,Sanders.Mention,Clinton.Mention,Special.Counsel.Mention,Travel.Ban.Mention,SinglePayer,Primary.Outcome,Primary.Runoff.Outcome,Candidate,District,total_runners,State,Office Type,Race Type,Race Primary Election Date,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,District Abbrev
0,LIZETTA,MCCONNELL,,https://lizzettaforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Other,Married,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,lizzetta hill mcconnell,U.S. House Alabama District 1,2,AL,Representative,Regular,6/5/18,None,-30.68,19.23,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,AL-1
1,ROBERT,KENNEDY,,http://www.kennedy4alabama.org/,Male,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,robert kennedy jr.,U.S. House Alabama District 1,2,AL,Representative,Regular,6/5/18,On the Ballot,-30.68,80.769997,Yes,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,AL-1
2,AUDRI,WILLIAMS,,https://www.audriscottwilliams.com/,Female,"Yes, the candidate serves or served in the military",No Education Information Listed,Other,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,audri scott williams,U.S. House Alabama District 2,2,AL,Representative,Regular,6/5/18,None,-33.080002,39.560001,No,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,AL-2
3,TABITHA,ISNER,,http://tabithaisner.com/,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate proposes reforms to reshape Social Security (e.g. increasing the retirement age; means-testing; etc.),Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,tabitha isner,U.S. House Alabama District 2,2,AL,Representative,Regular,6/5/18,On the Ballot,-33.080002,60.439999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,AL-2
4,ADIA,WINFREY,,https://www.drdiaforcongress.com/,Female,"No, the candidate does not include any information about serving in the military",Psy.D.,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,adia mcclellan winfrey,U.S. House Alabama District 3,2,AL,Representative,Regular,6/5/18,None,-33.66,34.240002,No,1,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,,,,,,,,AL-3
5,MALLORY,HAGAN,,https://www.haganforhouse.com/,Female,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,"Candidate opposes business regulations and other ""red tape""",Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,mallory hagan,U.S. House Alabama District 3,2,AL,Representative,Regular,6/5/18,On the Ballot,-33.66,65.739998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,AL-3
6,RICK,NEIGHBORS,,http://rickneighborsforcongress.com/,Male,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,rick neighbors,U.S. House Alabama District 4,2,AL,Representative,Regular,6/5/18,None,-62.48,45.869999,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,AL-4
7,LEE,AUMAN,,https://www.aumanforcongress.com/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,No information,,Candidate provides no information,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,lee auman,U.S. House Alabama District 4,2,AL,Representative,Regular,6/5/18,On the Ballot,-62.48,54.130001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,AL-4
8,PAUL,SPENCER,,https://www.paulspencer2018.com/,Male,"No, the candidate does not include any information about serving in the military",Bachelor's Degree,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides complicated/complex/unclear position,Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NEGATIVE MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,paul spencer,U.S. House Arkansas District 2,4,AR,Representative,Regular,5/22/18,None,-13.51,12.55,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,No,,,,,,,,,,,AR-2
9,JONATHAN,DUNKLEY,,https://www.votedunkleyar.com/,Male,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Progressive Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,jonathan dunkley,U.S. House Arkansas District 2,4,AR,Representative,Regular,5/22/18,None,-13.51,9.3400002,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,No,,,,,,,,,,,AR-2
10,GWEN,COMBS,,https://www.combsforarkansas.com/,Female,"Yes, the candidate serves or served in the military",Master's Degree (includes MBA),Married,,Candidate explicitly supports ACA,Candidate supports raising the minimum wage,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,gwen combs,U.S. House Arkansas District 2,4,AR,Representative,Regular,5/22/18,None,-13.51,20.299999,No,0,1.0,0.0,0.0,0,0.0,0.0,No,,Yes,,,,,,,,,,,AR-2
11,CLARKE,TUCKER,,http://www.clarketucker.com/,Male,"No, the candidate does not include any information about serving in the military",J.D.,Married,Candidate mentions previous elected office experience,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate provides no information,Candidate supports marriage equality measures,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Winner,,clarke tucker,U.S. House Arkansas District 2,4,AR,Representative,Regular,5/22/18,On the Ballot,-13.51,57.82,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,,Yes,,,,,,,,,,,AR-2
12,JESSICA,HOLCOMBE,,www.holcombeforcongress.com,Female,"No, the candidate does not include any information about serving in the military",J.D.,Married,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate supports legalization/decriminalization of marijuana,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Establishment Democrat,,NEGATIVE MENTION,NEUTRAL MENTION,POSITIVE MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,jessica holcombe,U.S. House California District 1,4,CA,Representative,Regular,6/5/18,None,-21.379999,28.540001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,No,,,,CA-1
13,MARTY,WALTERS,,www.martywalters.com,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),Single,,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides complicated/complex/unclear position,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate supports marriage equality measures,Candidate supports major criminal justice reform,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,"Candidate supports reforming campaign finance (""overturning Citizens United,"" ""no more SuperPACs,"" etc.)",Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Loser,,marty walters,U.S. House California District 1,4,CA,Representative,Regular,6/5/18,None,-21.379999,20.51,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,Yes,,,,CA-1
14,DAVID,PETERSON,,NONE,Male,"No, the candidate does not include any information about serving in the military",No Education Information Listed,No information,,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Other,,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,,Loser,,david peterson,U.S. House California District 1,4,CA,Representative,Regular,6/5/18,None,-21.379999,7.3000002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,No,,,,CA-1
15,AUDREY,DENNEY,,http://www.audreyforcongress.com,Female,"No, the candidate does not include any information about serving in the military",Master's Degree (includes MBA),No information,,Candidate provides complicated/complex/unclear position,Candidate supports raising the minimum wage,Candidate supports raising taxes on the wealthy/corporations,Candidate provides no information,Candidate provides no information,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate provides no information,Candidate identifies with the pro-choice position (i.e. supports abortion rights),Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate provides no information,Establishment Democrat,,NEGATIVE MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,NO MENTION,"Yes, candidate supports universal healthcare reforms",Winner,,audrey denney,U.S. House California District 1,4,CA,Representative,Regular,6/5/18,On the Ballot,-21.379999,43.650002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,Yes,,No,,,,CA-1
16,REGINA,BATESON,,https://www.bateson4congress.com/,Female,"No, the candidate does not include any information about serving in the military",Ph.D.,Married,,Candidate explicitly supports ACA,Candidate provides no information,Candidate supports raising taxes on the wealthy/corporations,Candidate provides complicated/complex/unclear position,Candidate calls for lowering the national debt or calls for deficit reduction,Candidate supports protecting the status quo Social Security system,Candidate supports gun control measures,Candidate supports comprehensive immigration reform (including a path to citizenship for illegal immigrants),Candidate provides no information,Candidate provides no information,Candidate provides no information,Candidate supports federal proposals for major education reform (including common core),Candidate supports regulations and measures to combat climate change,Candidate provides no information,Candidate provides no information,Candidate opposes reductions in military spending,Candidate provides complicated/complex/unclear position,Candidate notes Russia as political enemy of the United States,Establishment Democrat,,NEGATIVE MENTION,NEUTRAL MENTION,NO MENTION,NO MENTION,POSITIVE MENTION,NO MENTION,,Loser,,regina bateson,U.S. House California District 4,4,CA,Representative,Regular,6/5/18,None,-18.16,30.07,No,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,No,No,,No,,,,CA-4
