,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
0,Anthony White (Alabama),AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,0.0,-28.879999,3.4200001,No,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,Christopher Countryman,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,0.0,-28.879999,1.74,No,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,"Doug ""New Blue"" Smith",AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,0.0,-28.879999,3.27,No,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,James C. Fields,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,0.0,-28.879999,8.0,No,1.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
4,Sue Bell Cobb,AL,Governor of Alabama,Governor,Regular,6/5/18,Lost,None,0.0,-28.879999,28.98,No,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
5,Walt Maddox,AL,Governor of Alabama,Governor,Regular,6/5/18,Advanced,None,1.0,-28.879999,54.599998,Yes,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6
6,Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,0.0,-30.68,19.23,No,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
7,Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,1.0,-30.68,80.769997,Yes,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
8,Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,0.0,-33.080002,39.560001,No,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
9,Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,1.0,-33.080002,60.439999,Yes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,0.0,-33.66,34.240002,No,1.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
11,Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,1.0,-33.66,65.739998,Yes,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
12,Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,1.0,-62.48,54.130001,Yes,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
13,Rick Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,0.0,-62.48,45.869999,No,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
16,Jared Henderson,AR,Governor of Arkansas,Governor,Regular,5/22/18,Advanced,None,1.0,-28.639999,63.299999,Yes,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
17,Leticia Sanders,AR,Governor of Arkansas,Governor,Regular,5/22/18,Lost,None,0.0,-28.639999,36.700001,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
19,Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,1.0,-13.51,57.82,Yes,0.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4
20,Gwen Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0.0,-13.51,20.299999,No,0.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
21,Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0.0,-13.51,9.3400002,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
22,Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0.0,-13.51,12.55,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
25,Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,0.0,-24.559999,39.720001,No,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
26,Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,1.0,-24.559999,60.220001,Yes,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
27,Akinyemi Agbede,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.22,No,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
28,Albert Caesar Mezzetti,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.28,No,0.0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
29,Amanda Renteria,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,2.1500001,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
30,Antonio Villaraigosa,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,21.290001,No,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
31,Delaine Eastin,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,5.4000001,No,0.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,12
32,Gavin Newsom,CA,Governor of California,Governor,Regular,6/5/18,Advanced,None,1.0,25.83,53.869999,Yes,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
33,John Chiang,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,15.08,No,1.0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12
34,Juan Bribiesca,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.40000001,No,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
35,Klement Tinaj,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.12,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
36,Michael Shellenberger,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.73000002,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
37,Robert Davidson Griffis,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.25999999,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
38,Thomas Jefferson Cares,CA,Governor of California,Governor,Regular,6/5/18,Lost,None,0.0,25.83,0.20999999,No,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
