,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
0,Lizzetta Hill McConnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,0,-30.68,19.23,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,2
1,Robert Kennedy Jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,1,-30.68,80.769997,Yes,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
2,Audri Scott Williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,0,-33.080002,39.560001,No,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
3,Tabitha Isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,1,-33.080002,60.439999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
4,Adia McClellan Winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,0,-33.66,34.240002,No,1,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,,,,,,,,2
5,Mallory Hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,1,-33.66,65.739998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,2
6,Lee Auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,1,-62.48,54.130001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,2
7,Rick Neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,0,-62.48,45.869999,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,2
11,Clarke Tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,1,-13.51,57.82,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,,Yes,,,,,,,,,,,4
12,Gwen Combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,20.299999,No,0,1.0,0.0,0.0,0,0.0,0.0,No,,Yes,,,,,,,,,,,4
13,Jonathan Dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,9.3400002,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,No,,,,,,,,,,,4
14,Paul Spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,12.55,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,No,,,,,,,,,,,4
17,Brianna Westbrook,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Lost,None,0,-24.559999,39.720001,No,0,0.0,1.0,0.0,0,0.0,0.0,,,,,,,Yes,Yes,,,,,,2
18,Hiral Tipirneni,AZ,U.S. House Arizona District 8,Representative,Special,2/27/18,Advanced,None,1,-24.559999,60.220001,Yes,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,No,No,,,,,,2
19,Audrey Denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,1,-21.379999,43.650002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,Yes,,No,,,,4
20,David Peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,7.3000002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,No,,,,4
21,Jessica Holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,28.540001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,No,,,,4
22,Marty Walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,20.51,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,Yes,,,,4
23,Dotty Nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,1.89,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,Yes,Yes,,No,,,,6
24,Josh Harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,1,0.62,35.57,Yes,0,0.0,0.0,0.0,0,1.0,0.0,Yes,No,Yes,,,,No,No,,No,,,,6
25,Michael Eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,21.34,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,No,No,,No,,,,6
26,Mike Barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,4.98,No,0,1.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,No,No,,No,,,,6
27,Sue Zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,17.049999,No,0,0.0,0.0,1.0,0,1.0,0.0,No,No,No,,,,No,No,,No,,,,6
28,Virginia Madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,19.17,No,1,0.0,0.0,1.0,0,0.0,0.0,No,Yes,Yes,,,,No,No,,Yes,,,,6
30,Andrew Janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,1,-13.41,78.830002,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
31,Bobby Bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,0,-13.41,12.26,No,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
32,Ricardo Franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,0,-13.41,8.9099998,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,3
33,Kurtis Wilson,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0,-25.379999,4.8400002,No,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4
34,Mary Helen Barro,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0,-25.379999,18.200001,No,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4
35,Tatiana Matta,CA,U.S. House California District 23,Representative,Regular,6/5/18,Advanced,None,1,-25.379999,42.720001,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4
36,Wendy Reed,CA,U.S. House California District 23,Representative,Regular,6/5/18,Lost,None,0,-25.379999,34.25,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,4
37,Bryan Caforio,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0,2.02,38.259998,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,Yes,,,,No,Yes,,,,,,4
38,Jess Phoenix,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0,2.02,13.24,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,Yes,,,,Yes,No,,,,,,4
39,Katie Hill,CA,U.S. House California District 25,Representative,Regular,6/5/18,Advanced,None,1,2.02,42.970001,Yes,0,0.0,1.0,0.0,0,0.0,0.0,Yes,Yes,Yes,,,,No,No,,,,,,4
40,Mary Pallant,CA,U.S. House California District 25,Representative,Regular,6/5/18,Lost,None,0,2.02,5.54,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,,No,No,,,,,,4
41,Andy Thorburn,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,20.440001,No,0,0.0,0.0,0.0,1,0.0,0.0,No,No,Yes,,,,Yes,,,No,,No,,6
42,Gil Cisneros,CA,U.S. House California District 39,Representative,Regular,6/5/18,Advanced,None,1,2.99,43.23,Yes,1,1.0,0.0,0.0,1,0.0,0.0,Yes,No,Yes,,,,No,,,No,,Yes,,6
43,Herbert Lee,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,9.4200001,No,1,0.0,0.0,0.0,1,1.0,0.0,No,No,No,,,,No,,,No,,No,,6
44,Mai Khanh Tran,CA,U.S. House California District 39,Representative,Regular,6/5/18,Lost,None,0,2.99,11.69,No,1,0.0,0.0,0.0,1,1.0,0.0,No,Yes,Yes,,,,No,,,No,,No,,6
