,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
0,lizzetta hill mcconnell,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Lost,None,0,-30.68,19.23,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,1,AL-1,2
1,robert kennedy jr.,AL,U.S. House Alabama District 1,Representative,Regular,6/5/18,Advanced,None,1,-30.68,80.769997,Yes,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,1,AL-1,2
2,audri scott williams,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Lost,None,0,-33.080002,39.560001,No,1,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2,AL-2,2
3,tabitha isner,AL,U.S. House Alabama District 2,Representative,Regular,6/5/18,Advanced,None,1,-33.080002,60.439999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2,AL-2,2
4,adia mcclellan winfrey,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Lost,None,0,-33.66,34.240002,No,1,0.0,0.0,0.0,0,1.0,0.0,,,Yes,,,,,,,,,,,3,AL-3,2
5,mallory hagan,AL,U.S. House Alabama District 3,Representative,Regular,6/5/18,Advanced,None,1,-33.66,65.739998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,3,AL-3,2
6,lee auman,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Advanced,None,1,-62.48,54.130001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,Yes,,,,,,,,,,,4,AL-4,2
7,rick neighbors,AL,U.S. House Alabama District 4,Representative,Regular,6/5/18,Lost,None,0,-62.48,45.869999,No,0,1.0,0.0,0.0,0,0.0,0.0,,,No,,,,,,,,,,,4,AL-4,2
11,clarke tucker,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Advanced,None,1,-13.51,57.82,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,,Yes,,,,,,,,,,,2,AR-2,4
12,gwen combs,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,20.299999,No,0,1.0,0.0,0.0,0,0.0,0.0,No,,Yes,,,,,,,,,,,2,AR-2,4
13,jonathan dunkley,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,9.3400002,No,1,0.0,0.0,0.0,0,0.0,0.0,No,,No,,,,,,,,,,,2,AR-2,4
14,paul spencer,AR,U.S. House Arkansas District 2,Representative,Regular,5/22/18,Lost,None,0,-13.51,12.55,No,0,0.0,0.0,0.0,0,0.0,0.0,No,,No,,,,,,,,,,,2,AR-2,4
17,audrey denney,CA,U.S. House California District 1,Representative,Regular,6/5/18,Advanced,None,1,-21.379999,43.650002,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,Yes,,No,,,,1,CA-1,4
18,david peterson,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,7.3000002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,No,,,,1,CA-1,4
19,jessica holcombe,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,28.540001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,No,,,,1,CA-1,4
20,marty walters,CA,U.S. House California District 1,Representative,Regular,6/5/18,Lost,None,0,-21.379999,20.51,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,No,No,,Yes,,,,1,CA-1,4
21,dotty nygard,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,1.89,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,Yes,Yes,,No,,,,10,CA-10,6
22,josh harder,CA,U.S. House California District 10,Representative,Regular,6/5/18,Advanced,None,1,0.62,35.57,Yes,0,0.0,0.0,0.0,0,1.0,0.0,Yes,No,Yes,,,,No,No,,No,,,,10,CA-10,6
23,michael eggman,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,21.34,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,No,,,,No,No,,No,,,,10,CA-10,6
24,mike barkley,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,4.98,No,0,1.0,0.0,0.0,0,1.0,0.0,No,No,No,,,,No,No,,No,,,,10,CA-10,6
25,sue zwahlen,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,17.049999,No,0,0.0,0.0,1.0,0,1.0,0.0,No,No,No,,,,No,No,,No,,,,10,CA-10,6
26,virginia madueno,CA,U.S. House California District 10,Representative,Regular,6/5/18,Lost,None,0,0.62,19.17,No,1,0.0,0.0,1.0,0,0.0,0.0,No,Yes,Yes,,,,No,No,,Yes,,,,10,CA-10,6
28,andrew janz,CA,U.S. House California District 22,Representative,Regular,6/5/18,Advanced,None,1,-13.41,78.830002,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,22,CA-22,3
29,bobby bliatout,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,0,-13.41,12.26,No,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,22,CA-22,3
30,ricardo franco,CA,U.S. House California District 22,Representative,Regular,6/5/18,Lost,None,0,-13.41,8.9099998,No,1,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,22,CA-22,3
